House_number,Date,Energy Demand
MAC000002,12-10-2012,7.098
MAC000002,13-10-2012,11.087
MAC000002,14-10-2012,13.223
MAC000002,15-10-2012,10.257
MAC000002,16-10-2012,9.769
MAC000002,17-10-2012,10.885
MAC000002,18-10-2012,10.751
MAC000002,19-10-2012,8.431
MAC000002,20-10-2012,17.578
MAC000002,21-10-2012,24.49
MAC000002,22-10-2012,18.885
MAC000002,23-10-2012,10.485
MAC000002,24-10-2012,15.537
MAC000002,25-10-2012,13.128
MAC000002,26-10-2012,15.065
MAC000002,27-10-2012,16.886
MAC000002,28-10-2012,19.629
MAC000002,29-10-2012,12.779
MAC000002,30-10-2012,13.961
MAC000002,31-10-2012,17.822
MAC000002,01-11-2012,12.209
MAC000002,02-11-2012,14.554
MAC000002,03-11-2012,14.347
MAC000002,04-11-2012,14.507
MAC000002,05-11-2012,15.095
MAC000002,06-11-2012,11.663
MAC000002,07-11-2012,13.137
MAC000002,08-11-2012,0.186
MAC000002,09-11-2012,16.722
MAC000002,10-11-2012,13.245
MAC000002,11-11-2012,10.699
MAC000002,12-11-2012,12.321
MAC000002,13-11-2012,10.264
MAC000002,14-11-2012,10.82
MAC000002,15-11-2012,9.808
MAC000002,16-11-2012,13.116
MAC000002,17-11-2012,9.77
MAC000002,18-11-2012,13.779
MAC000002,19-11-2012,10.147
MAC000002,20-11-2012,11.479
MAC000002,21-11-2012,10.637
MAC000002,22-11-2012,9.44
MAC000002,23-11-2012,10.051
MAC000002,24-11-2012,11.023
MAC000002,25-11-2012,10.545
MAC000002,26-11-2012,9.876
MAC000002,27-11-2012,10.978
MAC000002,28-11-2012,10.743
MAC000002,29-11-2012,10.771
MAC000002,30-11-2012,13.088
MAC000002,01-12-2012,12.783
MAC000002,02-12-2012,15.354
MAC000002,03-12-2012,10.167
MAC000002,04-12-2012,11.143
MAC000002,05-12-2012,11.714
MAC000002,06-12-2012,11.85
MAC000002,07-12-2012,13.248
MAC000002,08-12-2012,13.442
MAC000002,09-12-2012,11.355
MAC000002,10-12-2012,10.123
MAC000002,11-12-2012,12.859
MAC000002,12-12-2012,11.971
MAC000002,13-12-2012,10.922
MAC000002,14-12-2012,10.584
MAC000002,15-12-2012,14.257
MAC000002,16-12-2012,16.497
MAC000002,17-12-2012,12.202
MAC000002,18-12-2012,10.255
MAC000002,19-12-2012,12.265
MAC000002,20-12-2012,11.122
MAC000002,21-12-2012,11.95
MAC000002,22-12-2012,17.932
MAC000002,23-12-2012,7.977
MAC000002,24-12-2012,4.983
MAC000002,25-12-2012,4.909
MAC000002,26-12-2012,7.65
MAC000002,27-12-2012,13.146
MAC000002,28-12-2012,11.157
MAC000002,29-12-2012,10.8
MAC000002,30-12-2012,11.112
MAC000002,31-12-2012,10.033
MAC000002,01-01-2013,10.8
MAC000002,02-01-2013,13.3
MAC000002,03-01-2013,10.074
MAC000002,04-01-2013,9.857
MAC000002,05-01-2013,11.171
MAC000002,06-01-2013,10.293
MAC000002,07-01-2013,9.439
MAC000002,08-01-2013,11.64
MAC000002,09-01-2013,15.259
MAC000002,10-01-2013,10.74
MAC000002,11-01-2013,10.979
MAC000002,12-01-2013,10.586
MAC000002,13-01-2013,10.36
MAC000002,14-01-2013,12.273
MAC000002,15-01-2013,9.83
MAC000002,16-01-2013,14.408
MAC000002,17-01-2013,9.857
MAC000002,18-01-2013,16.922
MAC000002,19-01-2013,15.742
MAC000002,20-01-2013,11.53
MAC000002,21-01-2013,12.666
MAC000002,22-01-2013,10.87
MAC000002,23-01-2013,10.99
MAC000002,24-01-2013,12.124
MAC000002,25-01-2013,11.26
MAC000002,26-01-2013,16.348
MAC000002,27-01-2013,11.466
MAC000002,28-01-2013,9.907
MAC000002,29-01-2013,9.886
MAC000002,30-01-2013,10.297
MAC000002,31-01-2013,9.208
MAC000002,01-02-2013,9.953
MAC000002,02-02-2013,15.097
MAC000002,03-02-2013,11.29
MAC000002,04-02-2013,8.798
MAC000002,05-02-2013,14.146
MAC000002,06-02-2013,14.222
MAC000002,07-02-2013,11.684
MAC000002,08-02-2013,9.635
MAC000002,09-02-2013,14.746
MAC000002,10-02-2013,15.871
MAC000002,11-02-2013,11.514
MAC000002,12-02-2013,10.958
MAC000002,13-02-2013,11.151
MAC000002,14-02-2013,10.042
MAC000002,15-02-2013,11.33
MAC000002,16-02-2013,10.807
MAC000002,17-02-2013,9.221
MAC000002,18-02-2013,9.563
MAC000002,19-02-2013,11.293
MAC000002,20-02-2013,10.941
MAC000002,21-02-2013,20.912
MAC000002,22-02-2013,24.018
MAC000002,23-02-2013,14.125
MAC000002,24-02-2013,19.751
MAC000002,25-02-2013,11.198
MAC000002,26-02-2013,11.175
MAC000002,27-02-2013,15.769
MAC000002,28-02-2013,32.628
MAC000002,01-03-2013,39.284
MAC000002,02-03-2013,26.292
MAC000002,03-03-2013,23.58
MAC000002,04-03-2013,25.447
MAC000002,05-03-2013,32.856
MAC000002,06-03-2013,16.637
MAC000002,07-03-2013,27.718
MAC000002,08-03-2013,18.876
MAC000002,09-03-2013,10.858
MAC000002,10-03-2013,19.191
MAC000002,11-03-2013,13.658
MAC000002,12-03-2013,16.135
MAC000002,13-03-2013,12.956
MAC000002,14-03-2013,12.286
MAC000002,15-03-2013,13.165
MAC000002,16-03-2013,12.652
MAC000002,17-03-2013,17.383
MAC000002,18-03-2013,13.295
MAC000002,19-03-2013,12.519
MAC000002,20-03-2013,14.014
MAC000002,21-03-2013,10.727
MAC000002,22-03-2013,13.524
MAC000002,23-03-2013,25.599
MAC000002,24-03-2013,16.021
MAC000002,25-03-2013,5.781
MAC000002,26-03-2013,4.985
MAC000002,27-03-2013,5.097
MAC000002,28-03-2013,4.929
MAC000002,29-03-2013,4.841
MAC000002,30-03-2013,4.931
MAC000002,31-03-2013,4.933
MAC000002,01-04-2013,4.95
MAC000002,02-04-2013,12.014
MAC000002,03-04-2013,11.421
MAC000002,04-04-2013,16.502
MAC000002,05-04-2013,14.555
MAC000002,06-04-2013,16.679
MAC000002,07-04-2013,13.424
MAC000002,08-04-2013,14.138
MAC000002,09-04-2013,13.627
MAC000002,10-04-2013,13.934
MAC000002,11-04-2013,13.214
MAC000002,12-04-2013,12.563
MAC000002,13-04-2013,25.958
MAC000002,14-04-2013,12.631
MAC000002,15-04-2013,13.937
MAC000002,16-04-2013,10.94
MAC000002,17-04-2013,9.049
MAC000002,18-04-2013,10.346
MAC000002,19-04-2013,10.303
MAC000002,20-04-2013,17.925
MAC000002,21-04-2013,13.58
MAC000002,22-04-2013,8.969
MAC000002,23-04-2013,8.225
MAC000002,24-04-2013,8.686
MAC000002,25-04-2013,9.481
MAC000002,26-04-2013,9.984
MAC000002,27-04-2013,9.625
MAC000002,28-04-2013,9.864
MAC000002,29-04-2013,7.571
MAC000002,30-04-2013,8.64
MAC000002,01-05-2013,8.069
MAC000002,02-05-2013,9.343
MAC000002,03-05-2013,8.109
MAC000002,04-05-2013,9.351
MAC000002,05-05-2013,8.826
MAC000002,06-05-2013,7.418
MAC000002,07-05-2013,7.607
MAC000002,08-05-2013,8.576
MAC000002,09-05-2013,8.391
MAC000002,10-05-2013,12.304
MAC000002,11-05-2013,10.111
MAC000002,12-05-2013,12.405
MAC000002,13-05-2013,8.24
MAC000002,14-05-2013,9.752
MAC000002,15-05-2013,8.34
MAC000002,16-05-2013,9.214
MAC000002,17-05-2013,9.638
MAC000002,18-05-2013,9.714
MAC000002,19-05-2013,10.747
MAC000002,20-05-2013,9.356
MAC000002,21-05-2013,10.899
MAC000002,22-05-2013,10.492
MAC000002,23-05-2013,9.423
MAC000002,24-05-2013,10.342
MAC000002,25-05-2013,9.509
MAC000002,26-05-2013,11.917
MAC000002,27-05-2013,11.161
MAC000002,28-05-2013,12.182
MAC000002,29-05-2013,11.099
MAC000002,30-05-2013,11.431
MAC000002,31-05-2013,10.098
MAC000002,01-06-2013,12.555
MAC000002,02-06-2013,12.082
MAC000002,03-06-2013,10.694
MAC000002,04-06-2013,11.065
MAC000002,05-06-2013,9.62
MAC000002,06-06-2013,9.343
MAC000002,07-06-2013,11.9
MAC000002,08-06-2013,9.598
MAC000002,09-06-2013,9.234
MAC000002,10-06-2013,8.24
MAC000002,11-06-2013,9.321
MAC000002,12-06-2013,9.375
MAC000002,13-06-2013,8.629
MAC000002,14-06-2013,8.761
MAC000002,15-06-2013,13.881
MAC000002,16-06-2013,11.62
MAC000002,17-06-2013,12.253
MAC000002,18-06-2013,10.138
MAC000002,19-06-2013,11.27
MAC000002,20-06-2013,8.717
MAC000002,21-06-2013,10.748
MAC000002,22-06-2013,8.182
MAC000002,23-06-2013,11.157
MAC000002,24-06-2013,7.651
MAC000002,25-06-2013,9.596
MAC000002,26-06-2013,8.857
MAC000002,27-06-2013,8.69
MAC000002,28-06-2013,10.441
MAC000002,29-06-2013,8.911
MAC000002,30-06-2013,7.594
MAC000002,01-07-2013,7.806
MAC000002,02-07-2013,8.958
MAC000002,03-07-2013,9.458
MAC000002,04-07-2013,9.37
MAC000002,05-07-2013,9.138
MAC000002,06-07-2013,9.435
MAC000002,07-07-2013,10.61
MAC000002,08-07-2013,7.405
MAC000002,09-07-2013,5.192
MAC000002,10-07-2013,5.368
MAC000002,11-07-2013,6.046
MAC000002,12-07-2013,4.995
MAC000002,13-07-2013,11.581
MAC000002,14-07-2013,12.957
MAC000002,15-07-2013,7.356
MAC000002,16-07-2013,10.737
MAC000002,17-07-2013,9.367
MAC000002,18-07-2013,11.62
MAC000002,19-07-2013,8.511
MAC000002,20-07-2013,9.344
MAC000002,21-07-2013,8.922
MAC000002,22-07-2013,8.216
MAC000002,23-07-2013,9.527
MAC000002,24-07-2013,8.265
MAC000002,25-07-2013,9.717
MAC000002,26-07-2013,10.316
MAC000002,27-07-2013,8.831
MAC000002,28-07-2013,8.154
MAC000002,29-07-2013,6.781
MAC000002,30-07-2013,8.843
MAC000002,31-07-2013,8.495
MAC000002,01-08-2013,7.92
MAC000002,02-08-2013,8.847
MAC000002,03-08-2013,7.746
MAC000002,04-08-2013,9.085
MAC000002,05-08-2013,9.564
MAC000002,06-08-2013,8.745
MAC000002,07-08-2013,8.784
MAC000002,08-08-2013,8.303
MAC000002,09-08-2013,9.381
MAC000002,10-08-2013,8.562
MAC000002,11-08-2013,8.567
MAC000002,12-08-2013,8.021
MAC000002,13-08-2013,7.709
MAC000002,14-08-2013,9.252
MAC000002,15-08-2013,10.068
MAC000002,16-08-2013,9.098
MAC000002,17-08-2013,8.702
MAC000002,18-08-2013,8.464
MAC000002,19-08-2013,8.498
MAC000002,20-08-2013,8.225
MAC000002,21-08-2013,9.566
MAC000002,22-08-2013,8.019
MAC000002,23-08-2013,8.18
MAC000002,24-08-2013,8.955
MAC000002,25-08-2013,8.91
MAC000002,26-08-2013,8.058
MAC000002,27-08-2013,10.4
MAC000002,28-08-2013,7.937
MAC000002,29-08-2013,9.9
MAC000002,30-08-2013,8.046
MAC000002,31-08-2013,8.538
MAC000002,01-09-2013,8.052
MAC000002,02-09-2013,9.104
MAC000002,03-09-2013,5.722
MAC000002,04-09-2013,5.071
MAC000002,05-09-2013,5.053
MAC000002,06-09-2013,5.04
MAC000002,07-09-2013,4.783
MAC000002,08-09-2013,4.713
MAC000002,09-09-2013,4.57
MAC000002,10-09-2013,4.548
MAC000002,11-09-2013,4.995
MAC000002,12-09-2013,10.985
MAC000002,13-09-2013,12.525
MAC000002,14-09-2013,13.236
MAC000002,15-09-2013,11.626
MAC000002,16-09-2013,12.157
MAC000002,17-09-2013,13.629
MAC000002,18-09-2013,14.61
MAC000002,19-09-2013,21.969
MAC000002,20-09-2013,19.563
MAC000002,21-09-2013,16.236
MAC000002,22-09-2013,12.847
MAC000002,23-09-2013,12.034
MAC000002,24-09-2013,13.234
MAC000002,25-09-2013,9.384
MAC000002,26-09-2013,11.378
MAC000002,27-09-2013,8.993
MAC000002,28-09-2013,12.718
MAC000002,29-09-2013,14.694
MAC000002,30-09-2013,18.271
MAC000002,01-10-2013,20.042
MAC000002,02-10-2013,9.379
MAC000002,03-10-2013,8.072
MAC000002,04-10-2013,8.707
MAC000002,05-10-2013,8.687
MAC000002,06-10-2013,8.628
MAC000002,07-10-2013,9.695
MAC000002,08-10-2013,10.365
MAC000002,09-10-2013,10.074
MAC000002,10-10-2013,11.084
MAC000002,11-10-2013,11.654
MAC000002,12-10-2013,5.909
MAC000002,13-10-2013,14.136
MAC000002,14-10-2013,10.46
MAC000002,15-10-2013,20.372
MAC000002,16-10-2013,22.108
MAC000002,17-10-2013,16.087
MAC000002,18-10-2013,16.662
MAC000002,19-10-2013,13.422
MAC000002,20-10-2013,18.601
MAC000002,21-10-2013,12.294
MAC000002,22-10-2013,11.088
MAC000002,23-10-2013,9.155
MAC000002,24-10-2013,9.258
MAC000002,25-10-2013,13.686
MAC000002,26-10-2013,11.677
MAC000002,27-10-2013,10.192
MAC000002,28-10-2013,15.18
MAC000002,29-10-2013,11.762
MAC000002,30-10-2013,10.397
MAC000002,31-10-2013,9.519
MAC000002,01-11-2013,9.384
MAC000002,02-11-2013,13.312
MAC000002,03-11-2013,16.2
MAC000002,04-11-2013,9.736
MAC000002,05-11-2013,21.503
MAC000002,06-11-2013,11.627
MAC000002,07-11-2013,11.834
MAC000002,08-11-2013,26.19
MAC000002,09-11-2013,12.202
MAC000002,10-11-2013,25.556
MAC000002,11-11-2013,28.659
MAC000002,12-11-2013,18.259
MAC000002,13-11-2013,12.27
MAC000002,14-11-2013,12.202
MAC000002,15-11-2013,13.78
MAC000002,16-11-2013,9.943
MAC000002,17-11-2013,9.094
MAC000002,18-11-2013,10.364
MAC000002,19-11-2013,11.045
MAC000002,20-11-2013,16.814
MAC000002,21-11-2013,11.73
MAC000002,22-11-2013,11.528
MAC000002,23-11-2013,11.214
MAC000002,24-11-2013,14.341
MAC000002,25-11-2013,9.56
MAC000002,26-11-2013,10.631
MAC000002,27-11-2013,11.265
MAC000002,28-11-2013,10.513
MAC000002,29-11-2013,11.51
MAC000002,30-11-2013,7.858
MAC000002,01-12-2013,12.918
MAC000002,02-12-2013,9.061
MAC000002,03-12-2013,14.641
MAC000002,04-12-2013,17.015
MAC000002,05-12-2013,10.495
MAC000002,06-12-2013,14.649
MAC000002,07-12-2013,11.76
MAC000002,08-12-2013,18.28
MAC000002,09-12-2013,11.522
MAC000002,10-12-2013,12.882
MAC000002,11-12-2013,12.935
MAC000002,12-12-2013,12.897
MAC000002,13-12-2013,12.486
MAC000002,14-12-2013,11.432
MAC000002,15-12-2013,12.214
MAC000002,16-12-2013,12.406
MAC000002,17-12-2013,18.477
MAC000002,18-12-2013,14.436
MAC000002,19-12-2013,12.073
MAC000002,20-12-2013,13.171
MAC000002,21-12-2013,11.247
MAC000002,22-12-2013,12.025
MAC000002,23-12-2013,6.721
MAC000002,24-12-2013,4.781
MAC000002,25-12-2013,4.65
MAC000002,26-12-2013,4.706
MAC000002,27-12-2013,9.122
MAC000002,28-12-2013,14.153
MAC000002,29-12-2013,14.982
MAC000002,30-12-2013,15.082
MAC000002,31-12-2013,13.746
MAC000002,01-01-2014,15.496
MAC000002,02-01-2014,14.195
MAC000002,03-01-2014,11.382
MAC000002,04-01-2014,16.176
MAC000002,05-01-2014,14.418
MAC000002,06-01-2014,14.302
MAC000002,07-01-2014,16.492
MAC000002,08-01-2014,13.079
MAC000002,09-01-2014,14.577
MAC000002,10-01-2014,14.964
MAC000002,11-01-2014,14.466
MAC000002,12-01-2014,16.034
MAC000002,13-01-2014,18.266
MAC000002,14-01-2014,18.532
MAC000002,15-01-2014,19.011
MAC000002,16-01-2014,15.802
MAC000002,17-01-2014,14.894
MAC000002,18-01-2014,12.371
MAC000002,19-01-2014,14.8
MAC000002,20-01-2014,12.486
MAC000002,21-01-2014,16.025
MAC000002,22-01-2014,14.116
MAC000002,23-01-2014,12.585
MAC000002,24-01-2014,14.54
MAC000002,25-01-2014,14.039
MAC000002,26-01-2014,24.04
MAC000002,27-01-2014,22.629
MAC000002,28-01-2014,14.388
MAC000002,29-01-2014,20.304
MAC000002,30-01-2014,14.166
MAC000002,31-01-2014,21.574
MAC000002,01-02-2014,11.425
MAC000002,02-02-2014,27.272
MAC000002,03-02-2014,17.468
MAC000002,04-02-2014,24.363
MAC000002,05-02-2014,17.018
MAC000002,06-02-2014,13.352
MAC000002,07-02-2014,16.663
MAC000002,08-02-2014,17.172
MAC000002,09-02-2014,12.657
MAC000002,10-02-2014,10.846
MAC000002,11-02-2014,15.586
MAC000002,12-02-2014,13.812
MAC000002,13-02-2014,11.723
MAC000002,14-02-2014,13.497
MAC000002,15-02-2014,12.57
MAC000002,16-02-2014,21.94
MAC000002,17-02-2014,12.917
MAC000002,18-02-2014,17.066
MAC000002,19-02-2014,14.997
MAC000002,20-02-2014,11.876
MAC000002,21-02-2014,13.083
MAC000002,22-02-2014,12.734
MAC000002,23-02-2014,14.886
MAC000002,24-02-2014,12.528
MAC000002,25-02-2014,11.826
MAC000002,26-02-2014,12.328
MAC000002,27-02-2014,20.518
MAC000002,28-02-2014,2.774
MAC000003,20-02-2012,7.561
MAC000003,21-02-2012,32.218
MAC000003,22-02-2012,19.609
MAC000003,23-02-2012,21.694
MAC000003,24-02-2012,15.817
MAC000003,25-02-2012,15.634
MAC000003,26-02-2012,18.373
MAC000003,27-02-2012,19.237
MAC000003,28-02-2012,14.952
MAC000003,29-02-2012,13.759
MAC000003,01-03-2012,10.579
MAC000003,02-03-2012,11.323
MAC000003,03-03-2012,11.599
MAC000003,04-03-2012,15.762
MAC000003,05-03-2012,12.884
MAC000003,06-03-2012,48.174
MAC000003,07-03-2012,42.511
MAC000003,08-03-2012,24.487
MAC000003,09-03-2012,20.936
MAC000003,10-03-2012,23.201
MAC000003,11-03-2012,19.149
MAC000003,12-03-2012,22.383
MAC000003,13-03-2012,22.386
MAC000003,14-03-2012,23.614
MAC000003,15-03-2012,22.594
MAC000003,16-03-2012,22.88
MAC000003,17-03-2012,22.911
MAC000003,18-03-2012,22.064
MAC000003,19-03-2012,22.16
MAC000003,20-03-2012,21.659
MAC000003,21-03-2012,20.808
MAC000003,22-03-2012,20.268
MAC000003,23-03-2012,22.878
MAC000003,24-03-2012,16.21
MAC000003,25-03-2012,5.109
MAC000003,26-03-2012,3.912
MAC000003,27-03-2012,3.972
MAC000003,28-03-2012,3.886
MAC000003,29-03-2012,3.891
MAC000003,30-03-2012,4.315
MAC000003,31-03-2012,4.013
MAC000003,01-04-2012,3.876
MAC000003,02-04-2012,7.073
MAC000003,03-04-2012,20.782
MAC000003,04-04-2012,14.595
MAC000003,05-04-2012,14.705
MAC000003,06-04-2012,16.949
MAC000003,07-04-2012,16.471
MAC000003,08-04-2012,14.751
MAC000003,09-04-2012,17.889
MAC000003,10-04-2012,12.095
MAC000003,11-04-2012,14.026
MAC000003,12-04-2012,19.16
MAC000003,13-04-2012,15.14
MAC000003,14-04-2012,15.186
MAC000003,15-04-2012,14.595
MAC000003,16-04-2012,18.422
MAC000003,17-04-2012,15.035
MAC000003,18-04-2012,17.264
MAC000003,19-04-2012,15.104
MAC000003,20-04-2012,15.24
MAC000003,21-04-2012,12.696
MAC000003,22-04-2012,14.203
MAC000003,23-04-2012,15.637
MAC000003,24-04-2012,15.349
MAC000003,25-04-2012,14.16
MAC000003,26-04-2012,13.802
MAC000003,27-04-2012,14.783
MAC000003,28-04-2012,14.172
MAC000003,29-04-2012,16.486
MAC000003,30-04-2012,11.494
MAC000003,01-05-2012,11.154
MAC000003,02-05-2012,11.707
MAC000003,03-05-2012,14.341
MAC000003,04-05-2012,15.388
MAC000003,05-05-2012,11.095
MAC000003,06-05-2012,10.936
MAC000003,07-05-2012,17.254
MAC000003,08-05-2012,13.262
MAC000003,09-05-2012,13.555
MAC000003,10-05-2012,11.486
MAC000003,11-05-2012,13.783
MAC000003,12-05-2012,15.012
MAC000003,13-05-2012,12.615
MAC000003,14-05-2012,13.773
MAC000003,15-05-2012,14.666
MAC000003,16-05-2012,15.577
MAC000003,17-05-2012,12.45
MAC000003,18-05-2012,13.66
MAC000003,19-05-2012,13.714
MAC000003,20-05-2012,13.583
MAC000003,21-05-2012,12.032
MAC000003,22-05-2012,13.376
MAC000003,23-05-2012,13.197
MAC000003,24-05-2012,14.082
MAC000003,25-05-2012,13.336
MAC000003,26-05-2012,12.744
MAC000003,27-05-2012,12.817
MAC000003,28-05-2012,15.167
MAC000003,29-05-2012,13.011
MAC000003,30-05-2012,12.3
MAC000003,31-05-2012,11.884
MAC000003,01-06-2012,13.782
MAC000003,02-06-2012,12.385
MAC000003,03-06-2012,14.153
MAC000003,04-06-2012,13.323
MAC000003,05-06-2012,11.94
MAC000003,06-06-2012,13.957
MAC000003,07-06-2012,11.541
MAC000003,08-06-2012,14.115
MAC000003,09-06-2012,12.851
MAC000003,10-06-2012,12.038
MAC000003,11-06-2012,13.055
MAC000003,12-06-2012,13.805
MAC000003,13-06-2012,10.943
MAC000003,14-06-2012,13.145
MAC000003,15-06-2012,14.032
MAC000003,16-06-2012,13.931
MAC000003,17-06-2012,14.574
MAC000003,18-06-2012,14.139
MAC000003,19-06-2012,11.994
MAC000003,20-06-2012,13.969
MAC000003,21-06-2012,12.444
